ante_parent_cat,cons_parent_cat,co_count,ante_count,cons_count,support,confidence,lift,leverage
Chăm Sóc Răng Miệng,Làm Sạch Cơ Thể,859,1244,1189,0.19390519187358918,0.6905144694533762,2.5727326321938238,0.11853583967306841
"Mắm, Rau Củ Muối",Đồ Uống,8,9,1531,0.0018058690744920992,0.8888888888888888,2.572029900573336,0.0011037508471380744
Vệ Sinh Phụ Nữ,"Xả Vải, Xịt Vải, Nước Tẩy",132,275,829,0.029796839729119638,0.48,2.565018094089264,0.01818022002659886
"Xả Vải, Xịt Vải, Nước Tẩy",Vệ Sinh Phụ Nữ,132,829,275,0.029796839729119638,0.15922798552472858,2.565018094089264,0.01818022002659886
Thiết Bị Nhà Bếp,Chăm Sóc Tóc,36,43,1449,0.008126410835214447,0.8372093023255814,2.559583995377727,0.004951515676513002
"Pizza, Cơm, Lẩu",Cà Phê,17,71,417,0.003837471783295711,0.23943661971830985,2.5436552166717328,0.0023288271532593795
Rau Củ,"Hạt, Trái Cây Sấy",28,89,554,0.006320541760722348,0.3146067415730337,2.5157181681742586,0.0038081213152678485
Sữa Bột,"Trà, Cà Phê Đóng Chai",12,62,342,0.002708803611738149,0.1935483870967742,2.5070741369552914,0.0016283395074624585
Thiết Bị Nhà Bếp,Đồ Dùng Phòng Tắm,8,43,329,0.0018058690744920992,0.18604651162790697,2.5051247614335193,0.0010849991592313845
"Nước Mắm, Nước Tương","Hạt, Trái Cây Sấy",9,29,554,0.0020316027088036117,0.3103448275862069,2.4816382422507157,0.001212948855790348
"Đèn, Ổ Cắm Điện","Trà, Cà Phê Đóng Chai",8,42,342,0.0018058690744920992,0.19047619047619047,2.4672793093845726,0.0010739417780472765
"Dầu Ăn, Gia Vị","Hạt, Trái Cây Sấy",8,26,554,0.0018058690744920992,0.3076923076923077,2.460427658983616,0.0010719035511008973
Trang Điểm,"Tương Ớt, Tương Cà, Tương Đen",9,46,354,0.0020316027088036117,0.1956521739130435,2.448415622697126,0.0012018405189325805
"Xúc Xích, Lạp Xưởng, Thịt Nguội",Bánh Tươi,23,145,287,0.005191873589164785,0.15862068965517243,2.4483960110537066,0.0030713532298253746
Tẩy Trang,Vệ Sinh,9,27,607,0.0020316027088036117,0.3333333333333333,2.43272926963207,0.0011964901731983347
Chăm Sóc Răng Miệng,Chăm Sóc Tóc,987,1244,1449,0.22279909706546275,0.7934083601286174,2.425672212125449,0.1309486417765186
Chăm Sóc Tóc,Chăm Sóc Răng Miệng,987,1449,1244,0.22279909706546275,0.6811594202898551,2.425672212125449,0.1309486417765186
Chăm Sóc Răng Miệng,Đồ Dùng Phòng Tắm,223,1244,329,0.05033860045146727,0.17926045016077172,2.4137501343836436,0.029483666158808455
Đồ Dùng Phòng Tắm,Chăm Sóc Răng Miệng,223,329,1244,0.05033860045146727,0.6778115501519757,2.413750134383643,0.029483666158808455
