category_path,n_bills,pct_bills
"Chế Phẩm Từ Sữa > Thực Phẩm Từ Sữa > Bơ, Phô Mai > Kem Tươi, Whipping Cream",25,0.0056433408577878106
Thời Trang > Thời Trang Nữ > Đồ Lót,25,0.0056433408577878106
"Sức Khỏe, Làm Đẹp > Trang Điểm > Tẩy Trang > Nước Tẩy Trang",24,0.005417607223476298
Điện Gia Dụng > Thiết Bị Gia Đình,24,0.005417607223476298
"Nhà Cửa Đời Sống > Dụng Cụ Bếp, Phòng Ăn > Nồi, Chảo",24,0.005417607223476298
Thú Cưng > Thức Ăn Thú Cưng > Thức Ăn Cho Chó,24,0.005417607223476298
Thực Phẩm Khô > Thực Phẩm Đóng Hộp > Trái Cây Đóng Hộp,23,0.005191873589164785
Chăm Sóc Cá Nhân > Chăm Sóc Nam Giới > Sức Khỏe Tình Dục,23,0.005191873589164785
"Dầu Ăn, Gia Vị > Gia Vị > Nước Mắm, Nước Tương > Nước Tương",23,0.005191873589164785
"Bánh Kẹo > Bữa Sáng > Bơ Phết, Đậu Phộng",21,0.004740406320541761
"Gạo, Mì, Bún, Đậu > Gạo, Bột, Đậu > Gạo",21,0.004740406320541761
Bánh Tươi > Bánh Lạt,20,0.004514672686230248
"Chế Phẩm Từ Sữa > Sữa > Sữa Chua, Váng Sữa > Váng Sữa",20,0.004514672686230248
Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Chăm Sóc Răng Miệng > Sản Phẩm Vệ Sinh Răng Khác,19,0.004288939051918736
Mẹ Và Bé > Chăm Sóc Bé > Chăm Sóc Sức Khỏe,19,0.004288939051918736
"Chế Phẩm Từ Sữa > Thực Phẩm Từ Sữa > Tráng Miệng > Flan, Pudding, Thạch",18,0.004063205417607223
Chế Phẩm Từ Sữa > Sữa > Sữa Bột > Bột Ăn Dặm,17,0.003837471783295711
"Sức Khỏe, Làm Đẹp > Trang Điểm > Trang Điểm Mặt",17,0.003837471783295711
Nhà Cửa Đời Sống > Văn Phòng Phẩm > Dụng Cụ Văn Phòng > Bìa Hồ Sơ,16,0.0036117381489841984
"Thực Phẩm Đông Lạnh > Bánh Bao, Giò Chả, Đậu Hủ > Đậu Hủ",16,0.0036117381489841984
"Trà, Cà Phê > Trà, Cà Phê Pha Chế > Bột Socola, Ca Cao",15,0.003386004514672686
Rau Củ > Rau Lá,15,0.003386004514672686
Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Làm Sạch Cơ Thể > Tẩy Tế Bào Chết,15,0.003386004514672686
Thủy sản > Thủy Sản Tươi Sống > Cá Biển,13,0.002934537246049661
"Gạo, Mì, Bún, Đậu > Mì, Bún, Nui Khô > Mì Ý",13,0.002934537246049661
"Gạo, Mì, Bún, Đậu > Gạo, Bột, Đậu > Đậu Các Loại",13,0.002934537246049661
"Trái Cây > Cam, Bưởi, Quýt",13,0.002934537246049661
"Dầu Ăn, Gia Vị > Gia Vị > Muối, Đường > Muối",13,0.002934537246049661
Thủy sản > Thủy Sản Tươi Sống > Thủy Sản Tươi Khác,12,0.002708803611738149
Điện Gia Dụng > Thiết Bị Nhà Bếp > Thiết Bị Bếp Khác,12,0.002708803611738149
"Gạo, Mì, Bún, Đậu > Mì, Bún, Nui Khô > Nui",12,0.002708803611738149
Rau Củ > Nấm > Nấm Khô,11,0.0024830699774266367
